Country/Other,Population (2020),Land Area (Km²), Population Density (Population/Km^2
St. Vincent & Grenadines,110940,390,284.462
State of Palestine,5101414,6020,847.411
Sudan,43849260,1765048,24.8431
Suriname,586632,156000,3.76046
Sweden,10099265,410340,24.6119
Switzerland,8654622,39516,219.016
Syria,17500658,183630,95.3039
Taiwan,23816775,35410,672.6
Tajikistan,9537645,139960,68.1455
Tanzania,59734218,885800,67.4353
Thailand,69799978,510890,136.624
Timor-Leste,1318445,14870,88.6648
Togo,8278724,54390,152.21
Tonga,105695,720,146.799
Trinidad and Tobago,1399488,5130,272.805
Tunisia,11818619,155360,76.0725
Turkey,84339067,769630,109.584
Turkmenistan,6031200,469930,12.8343
U.S. Virgin Islands,104425,350,298.357
Uganda,45741007,199810,228.923
Ukraine,43733762,579320,75.4915
United Arab Emirates,9890402,83600,118.306
United Kingdom,67886011,241930,280.602
United States,331002651,9147420,36.1854
Uruguay,3473730,175020,19.8476
Uzbekistan,33469203,425400,78.677
Vanuatu,307145,12190,25.1965
Venezuela,28435940,882050,32.2385
Vietnam,97338579,310070,313.925
Western Sahara,597339,266000,2.24564
Yemen,29825964,527970,56.4918
Zambia,18383955,743390,24.7299
Zimbabwe,14862924,386850,38.4204
